word,data/austen-emma.txt,data/austen-persuasion.txt,data/austen-sense.txt
abilities,0.2,0.2,0.6
abode,0.14285714285714285,0.14285714285714285,0.7142857142857143
about,0.5051334702258727,0.19917864476386038,0.29568788501026694
above,0.3157894736842105,0.15789473684210525,0.5263157894736842
abroad,0.3,0.25,0.45
absence,0.4411764705882353,0.2647058823529412,0.29411764705882354
absolute,0.3333333333333333,0.3333333333333333,0.3333333333333333
absolutely,0.6875,0.10416666666666667,0.20833333333333334
absurdity,0.16666666666666666,0.16666666666666666,0.6666666666666666
abundance,0.625,0.125,0.25
abused,0.25,0.5,0.25
acceptable,0.6153846153846154,0.15384615384615385,0.23076923076923078
acceptance,0.4,0.2,0.4
accepted,0.5238095238095238,0.14285714285714285,0.3333333333333333
accepting,0.4,0.2,0.4
accident,0.07692307692307693,0.5384615384615384,0.38461538461538464
accidental,0.6,0.2,0.2
accidentally,0.2222222222222222,0.2222222222222222,0.5555555555555556
accommodate,0.2857142857142857,0.2857142857142857,0.42857142857142855
accommodation,0.375,0.1875,0.4375
accommodations,0.2222222222222222,0.6666666666666666,0.1111111111111111
accompanied,0.5714285714285714,0.14285714285714285,0.2857142857142857
accompany,0.375,0.125,0.5
accomplished,0.7333333333333333,0.13333333333333333,0.13333333333333333
accomplishment,0.4,0.2,0.4
according,0.625,0.125,0.25
accordingly,0.3076923076923077,0.46153846153846156,0.23076923076923078
accosted,0.3333333333333333,0.3333333333333333,0.3333333333333333
account,0.40441176470588236,0.27205882352941174,0.3235294117647059
accounts,0.2857142857142857,0.35714285714285715,0.35714285714285715
accuse,0.3333333333333333,0.3333333333333333,0.3333333333333333
acknowledge,0.4117647058823529,0.23529411764705882,0.35294117647058826
acknowledged,0.3548387096774194,0.25806451612903225,0.3870967741935484
acquaintance,0.3387096774193548,0.3279569892473118,0.3333333333333333
acquainted,0.3764705882352941,0.3176470588235294,0.3058823529411765
acquiescence,0.5555555555555556,0.2222222222222222,0.2222222222222222
acquired,0.375,0.5,0.125
acquitted,0.25,0.25,0.5
action,0.42857142857142855,0.14285714285714285,0.42857142857142855
actions,0.08333333333333333,0.16666666666666666,0.75
active,0.3333333333333333,0.23809523809523808,0.42857142857142855
actual,0.375,0.5,0.125
actually,0.6428571428571429,0.21428571428571427,0.14285714285714285
acute,0.5,0.25,0.25
addition,0.4782608695652174,0.21739130434782608,0.30434782608695654
additional,0.36363636363636365,0.2727272727272727,0.36363636363636365
addressed,0.4,0.3,0.3
addresses,0.3333333333333333,0.5,0.16666666666666666
addressing,0.5625,0.1875,0.25
adieus,0.25,0.25,0.5
adjoining,0.5454545454545454,0.2727272727272727,0.18181818181818182
admiration,0.4444444444444444,0.18518518518518517,0.37037037037037035
admire,0.34615384615384615,0.2692307692307692,0.38461538461538464
admired,0.6,0.2,0.2
admires,0.2,0.2,0.6
admiring,0.3333333333333333,0.3333333333333333,0.3333333333333333
admitted,0.41379310344827586,0.41379310344827586,0.1724137931034483
advance,0.5,0.125,0.375
advanced,0.23076923076923078,0.07692307692307693,0.6923076923076923
advancing,0.25,0.25,0.5
advantage,0.36486486486486486,0.2972972972972973,0.33783783783783783
advantages,0.6,0.25,0.15
advice,0.4827586206896552,0.1724137931034483,0.3448275862068966
advisable,0.25,0.125,0.625
advise,0.55,0.05,0.4
advised,0.4,0.2,0.4
affairs,0.29411764705882354,0.47058823529411764,0.23529411764705882
affected,0.28,0.4,0.32
affecting,0.16666666666666666,0.16666666666666666,0.6666666666666666
affection,0.3602941176470588,0.0661764705882353,0.5735294117647058
affectionate,0.2647058823529412,0.08823529411764706,0.6470588235294118
affectionately,0.16666666666666666,0.5,0.3333333333333333
affections,0.4230769230769231,0.11538461538461539,0.46153846153846156
affliction,0.1,0.15,0.75
afforded,0.47058823529411764,0.11764705882352941,0.4117647058823529
afraid,0.6237623762376238,0.1485148514851485,0.22772277227722773
afternoon,0.45454545454545453,0.2727272727272727,0.2727272727272727
afterwards,0.3619047619047619,0.3333333333333333,0.3047619047619048
again,0.430062630480167,0.2755741127348643,0.29436325678496866
against,0.3333333333333333,0.1956521739130435,0.47101449275362317
agitated,0.6428571428571429,0.21428571428571427,0.14285714285714285
agitation,0.3404255319148936,0.2978723404255319,0.3617021276595745
agree,0.5357142857142857,0.25,0.21428571428571427
agreeable,0.44642857142857145,0.3392857142857143,0.21428571428571427
agreed,0.4666666666666667,0.3333333333333333,0.2
agreeing,0.6666666666666666,0.16666666666666666,0.16666666666666666
agreement,0.2,0.4,0.4
alacrity,0.375,0.375,0.25
alarmed,0.46153846153846156,0.3076923076923077,0.23076923076923078
alarming,0.5,0.3333333333333333,0.16666666666666666
alike,0.3684210526315789,0.21052631578947367,0.42105263157894735
alive,0.3333333333333333,0.4444444444444444,0.2222222222222222
allowable,0.5714285714285714,0.14285714285714285,0.2857142857142857
allowance,0.2222222222222222,0.3333333333333333,0.4444444444444444
allowances,0.42857142857142855,0.2857142857142857,0.2857142857142857
allowed,0.5555555555555556,0.20833333333333334,0.2361111111111111
allowing,0.5714285714285714,0.14285714285714285,0.2857142857142857
alluded,0.25,0.375,0.375
allusion,0.6,0.2,0.2
alone,0.32,0.28,0.4
aloud,0.5833333333333334,0.16666666666666666,0.25
already,0.3893805309734513,0.17699115044247787,0.4336283185840708
