,data/austen-emma.txt,data/austen-persuasion.txt,data/austen-sense.txt
dashwood,,,224.0
dashwooda,,,1.0
dashwoodbut,,,1.0
dashwoodit,,,1.0
dashwoodor,,,1.0
dashwoodpoor,,,1.0
dashwoods,,,56.0
dashwoodswas,,,1.0
dashwoodthat,,,1.0
dashwoodyou,,,1.0
date,2.0,3.0,1.0
dated,1.0,2.0,
dating,1.0,,
daughter,43.0,18.0,36.0
daughterbetter,,,1.0
daughterhe,1.0,,
daughteri,1.0,,
daughterinlaw,1.0,,4.0
daughterinlaws,,1.0,1.0
daughters,21.0,13.0,31.0
daughtersi,1.0,,
daughterwho,1.0,,
davies,,,2.0
dawdled,,,1.0
dawdling,1.0,1.0,1.0
dawlish,,,5.0
dawned,,,1.0
dawning,,1.0,
day,145.0,66.0,139.0
daya,1.0,,
dayabout,1.0,,
daybut,3.0,,
dayeven,1.0,,
daylight,,1.0,
daynever,1.0,,
dayno,,,1.0
days,55.0,27.0,47.0
dayshocking,1.0,,
daysin,,,1.0
daysmr,1.0,,
daytill,1.0,,
daywhich,1.0,,
de,1.0,,
dead,2.0,6.0,4.0
deadening,1.0,,
deaf,4.0,,
deafer,1.0,,
deafness,1.0,,
deal,90.0,45.0,33.0
dealbut,2.0,,
dealing,3.0,,
dealings,2.0,1.0,
dealt,1.0,,1.0
dear,235.0,56.0,115.0
dearand,1.0,,1.0
dearbut,1.0,,
dearer,6.0,,6.0
dearest,19.0,1.0,9.0
deari,2.0,,
dearly,2.0,1.0,1.0
dears,2.0,1.0,
dearsaid,,,1.0
dearsure,,,1.0
death,9.0,11.0,9.0
deatha,,,1.0
deathbed,1.0,,
deathcould,1.0,,
deathlike,,,1.0
deathnow,,,1.0
deaththat,,,1.0
debased,1.0,,
debasement,1.0,,
debate,1.0,,1.0
debated,,,1.0
debates,,1.0,
debating,,,3.0
debt,1.0,2.0,2.0
debts,,1.0,1.0
decay,,,3.0
decease,2.0,,1.0
deceitespionage,1.0,,
deceitful,,,3.0
deceitfulhad,,,1.0
deceiti,1.0,,
deceive,3.0,2.0,4.0
deceived,8.0,1.0,11.0
deceivedhe,1.0,,
deceiving,,,2.0
december,4.0,1.0,
decencies,,1.0,
decent,1.0,6.0,3.0
decently,,,1.0
deception,,2.0,2.0
deceptions,1.0,,
decide,5.0,5.0,4.0
decided,27.0,22.0,7.0
decidedly,13.0,7.0,
decides,1.0,1.0,
deciding,1.0,1.0,2.0
deciphered,1.0,,
decision,8.0,7.0,4.0
decisions,,,1.0
decisive,5.0,1.0,1.0
decisively,1.0,,1.0
declaration,6.0,2.0,5.0
declarationmade,1.0,,
declarations,,1.0,
declare,11.0,11.0,16.0
declared,7.0,6.0,26.0
declarei,1.0,,
declares,3.0,1.0,2.0
declaring,1.0,2.0,3.0
decline,2.0,2.0,1.0
declined,7.0,4.0,7.0
declining,4.0,3.0,6.0
decorated,1.0,,
decorum,2.0,2.0,2.0
decrease,,,1.0
decree,1.0,,1.0
decrepitude,,1.0,
deducting,,1.0,
deduction,2.0,,
deed,1.0,1.0,2.0
deedily,1.0,,
deem,2.0,,
deemed,4.0,3.0,1.0
deep,13.0,8.0,5.0
deeper,2.0,2.0,3.0
deepest,2.0,,1.0
deepin,1.0,,
deeply,10.0,6.0,5.0
defeat,1.0,,
defeating,,1.0,
defect,,2.0,3.0
defective,,1.0,1.0
defects,1.0,,2.0
defence,2.0,2.0,2.0
defencei,,,1.0
defend,1.0,1.0,4.0
defended,1.0,1.0,1.0
defer,5.0,1.0,4.0
deference,2.0,3.0,2.0
defiance,2.0,1.0,
deficiencies,1.0,1.0,2.0
deficiency,3.0,1.0,4.0
deficiencybut,1.0,,
deficient,5.0,4.0,5.0
defied,,1.0,
defies,1.0,,
define,,,1.0
defined,1.0,,1.0
definition,2.0,,
defy,,1.0,1.0
defying,1.0,1.0,
degradation,4.0,2.0,
degrade,,,1.0
degraded,,,1.0
degrading,3.0,2.0,
degree,55.0,24.0,13.0
degreeam,,,1.0
degreei,1.0,,
degrees,,2.0,6.0
dejected,,1.0,1.0
dejection,1.0,,3.0
delaford,,,25.0
delaforda,,,1.0
delafordbut,,,1.0
delaforddelafordthat,,,1.0
delafordwhich,,,1.0
delay,19.0,6.0,15.0
delayed,3.0,1.0,4.0
delays,4.0,2.0,1.0
delegating,1.0,,
deliberate,,,1.0
deliberately,2.0,,
deliberating,1.0,,2.0
deliberation,,1.0,1.0
delicacies,,,1.0
delicacy,16.0,4.0,10.0
delicate,9.0,3.0,8.0
delicatehartfield,1.0,,
delicately,1.0,,
delicious,1.0,1.0,
delighful,,,1.0
delight,20.0,6.0,24.0
delighted,29.0,19.0,20.0
delightedfor,1.0,,
delightemmas,1.0,,
delightful,38.0,7.0,17.0
delightfully,7.0,,
delightfullyhe,1.0,,
delightfullyhow,,,1.0
delightfulmiss,1.0,,
delightfulmy,,,1.0
delights,2.0,,
delineated,1.0,,1.0
delirium,,,1.0
deliver,1.0,,1.0
deliverance,,,3.0
delivered,2.0,1.0,5.0
delivery,,,1.0
delusion,3.0,,
demand,1.0,,3.0
demanded,1.0,,1.0
demanding,1.0,,
demands,2.0,3.0,5.0
demeanor,,,1.0
demerits,1.0,,
demesne,,,1.0
demonstrations,,,1.0
demur,,,1.0
demure,3.0,,1.0
demurred,1.0,,
demurs,1.0,,
denial,3.0,,2.0
denied,3.0,,5.0
deniedand,1.0,,
dennisons,,,1.0
denote,3.0,,1.0
denoted,1.0,1.0,1.0
denotes,1.0,,
denoting,,,1.0
dentist,3.0,,
deny,6.0,2.0,8.0
denying,6.0,,
denyshe,1.0,,
depart,1.0,,1.0
departed,1.0,,3.0
departing,,,2.0
departure,3.0,,7.0
depend,25.0,11.0,10.0
depended,8.0,4.0,9.0
dependence,10.0,4.0,7.0
dependenceand,1.0,,
dependencies,,1.0,
dependent,3.0,2.0,4.0
depending,1.0,1.0,2.0
depends,7.0,1.0,3.0
deplorable,3.0,,1.0
deplorablelooking,,1.0,
deplore,2.0,1.0,
deplored,,1.0,
deposit,1.0,,
deposited,1.0,1.0,
depravity,,,1.0
deprecated,1.0,1.0,
depreciating,1.0,,
depressed,6.0,,1.0
depression,1.0,1.0,
deprive,,,3.0
deprived,1.0,1.0,3.0
depriving,,1.0,
deputation,,1.0,
deranged,1.0,1.0,
derive,,2.0,1.0
derived,1.0,1.0,2.0
deriving,1.0,,
descend,,1.0,2.0
descendant,,,1.0
descending,,2.0,
describe,8.0,1.0,6.0
described,4.0,5.0,8.0
describedfrom,,,1.0
describedit,1.0,,
describing,2.0,1.0,1.0
descried,1.0,1.0,
description,6.0,16.0,3.0
descriptions,,3.0,
descriptionso,1.0,,
descriptive,1.0,,
desert,2.0,1.0,
deserted,2.0,5.0,1.0
desertion,,,1.0
deserts,1.0,,2.0
deserve,20.0,3.0,8.0
deserved,10.0,8.0,7.0
deservedly,2.0,,
deservehe,1.0,,
deserves,6.0,,1.0
deserving,4.0,4.0,2.0
design,4.0,3.0,11.0
designed,,1.0,
designedly,1.0,,
designing,,2.0,
designs,2.0,2.0,5.0
designsbut,,,1.0
desirable,17.0,12.0,6.0
desirableness,1.0,1.0,
desirablewhat,1.0,,
desire,1.0,9.0,24.0
desired,12.0,2.0,5.0
desires,2.0,,
desiring,2.0,,1.0
desirous,2.0,2.0,9.0
desolate,,1.0,
despair,4.0,1.0,3.0
despairand,1.0,,1.0
despaired,1.0,,
despatch,2.0,,4.0
despatched,1.0,,
despatching,,,1.0
desperate,2.0,1.0,3.0
desperately,1.0,,2.0
desperateshe,1.0,,
desperation,,1.0,1.0
despise,1.0,,2.0
despised,,1.0,1.0
despising,,,1.0
despoiling,1.0,,
despondence,,1.0,
despondencebut,,,1.0
despondency,,1.0,
desponding,1.0,,1.0
dessert,2.0,,1.0
destination,2.0,2.0,1.0
destind,1.0,,
destined,4.0,,
destiny,7.0,1.0,1.0
destroy,3.0,1.0,1.0
destroyed,2.0,4.0,3.0
destroys,,,1.0
destroywhat,1.0,,
destruction,,1.0,
desultory,1.0,,
detach,1.0,,
detached,1.0,,
detail,2.0,1.0,2.0
detailed,1.0,1.0,
detailing,1.0,,
detailmethodical,1.0,,
details,,1.0,
detain,2.0,,4.0
detained,7.0,,
detaining,2.0,,1.0
detected,3.0,1.0,1.0
detecting,1.0,,1.0
detection,,,1.0
deter,,,1.0
determinate,,,1.0
determination,5.0,,4.0
determine,4.0,1.0,9.0
determined,36.0,33.0,46.0
determining,1.0,,1.0
deterred,,,1.0
detest,,,3.0
detestable,1.0,,
detestably,,,1.0
detested,,,1.0
detract,,,1.0
development,2.0,,
deviated,,1.0,
deviation,1.0,,2.0
device,3.0,,
devil,1.0,,4.0
devise,1.0,1.0,
devoid,1.0,,
devolved,,,1.0
devonshire,,,24.0
devonshireedward,,,1.0
devonshirei,,,1.0
devote,1.0,,
devoted,5.0,2.0,4.0
devoting,2.0,1.0,
devotion,2.0,2.0,
devoured,,1.0,
dews,1.0,,
dexterity,1.0,,
dexterously,1.0,,
diabolical,,,1.0
dialogue,2.0,,
dialogues,1.0,,
dick,,5.0,
dicks,,1.0,
dictate,1.0,2.0,2.0
dictateand,,,1.0
dictated,1.0,,
diction,,,1.0
did,338.0,162.0,240.0
didand,1.0,,
didbut,1.0,,
didcheerfully,1.0,,
didi,,,1.0
didmrs,,,1.0
didnobody,1.0,,
didsaid,,,1.0
didthat,,,1.0
didto,1.0,,
didwhile,1.0,,
die,5.0,,
died,4.0,7.0,7.0
diedit,,,1.0
dies,1.0,1.0,1.0
dieshe,1.0,,
diet,1.0,,
differ,1.0,1.0,
differed,,,1.0
difference,30.0,14.0,19.0
differencewhich,1.0,,
different,39.0,26.0,31.0
differently,11.0,11.0,2.0
differentno,1.0,,
differentthe,1.0,,
differentwhich,1.0,,
differing,,,1.0
difficult,7.0,5.0,5.0
difficulties,17.0,12.0,17.0
difficulty,30.0,7.0,18.0
difficultyyou,,,1.0
diffidence,2.0,,
diffident,2.0,,3.0
diffuse,1.0,,1.0
diffused,,1.0,
diffuses,1.0,,
dignified,2.0,1.0,3.0
dignities,1.0,,
dignity,5.0,11.0,4.0
digress,,1.0,
dilatoriness,,,1.0
dilatory,1.0,,
diligence,1.0,,
dim,,2.0,
dimensions,2.0,,2.0
diminished,,1.0,1.0
diminution,,,2.0
dimming,,1.0,
dine,15.0,13.0,9.0
dined,2.0,5.0,5.0
dining,6.0,1.0,8.0
diningparlour,1.0,,
diningroom,5.0,2.0,2.0
diningroomand,1.0,,
diningrooms,,1.0,
dinings,,1.0,
dinner,42.0,17.0,24.0
dinnercompany,1.0,,
dinnerparties,2.0,1.0,
dinnerparty,2.0,,
dinners,2.0,3.0,2.0
dinnertime,1.0,1.0,
dinnervisiting,1.0,,
dint,1.0,1.0,
direct,10.0,3.0,9.0
directed,6.0,2.0,4.0
directing,,2.0,1.0
direction,6.0,11.0,10.0
directions,4.0,2.0,1.0
directly,49.0,12.0,42.0
directlyi,2.0,,
direful,1.0,,
dirt,1.0,1.0,2.0
dirty,6.0,,4.0
disabled,,1.0,
disadvantage,,1.0,2.0
disadvantagebut,,,1.0
disadvantages,1.0,1.0,
disagree,4.0,,
disagreeable,18.0,4.0,2.0
disagreeablea,1.0,,
disagreeablei,1.0,,
disagreeableness,1.0,,
disagreeables,1.0,,
disagreement,3.0,1.0,1.0
disagreements,1.0,,1.0
disagrees,,1.0,
disappearance,3.0,,
disappeared,,3.0,2.0
disappearing,1.0,,
disappoint,3.0,,2.0
disappointed,18.0,6.0,17.0
disappointedmuch,1.0,,
disappointing,2.0,,2.0
disappointment,18.0,4.0,23.0
disappointments,2.0,2.0,3.0
disapprobation,1.0,3.0,1.0
disapprove,1.0,,2.0
disapproved,1.0,,1.0
disapproves,,,1.0
disapproving,,,1.0
disarm,,,1.0
disastrous,,,1.0
disbelief,,,1.0
discarded,,,1.0
discern,3.0,2.0,1.0
discerned,3.0,3.0,
discerning,1.0,2.0,1.0
discernment,,1.0,2.0
discharge,,,3.0
discharged,1.0,,2.0
discharging,,1.0,1.0
discipline,2.0,,
disclaimed,1.0,,
disclaiming,1.0,,1.0
disclosed,,1.0,
disclosing,,,2.0
disclosure,3.0,,1.0
discomfited,,1.0,
discompose,,,2.0
discomposed,2.0,,1.0
discontent,1.0,,3.0
discontented,,1.0,1.0
discontents,,,2.0
discontinuing,1.0,,
discordancies,1.0,,
discouragement,2.0,,
discourse,2.0,2.0,19.0
discover,4.0,,5.0
discovered,4.0,1.0,7.0
discoveries,4.0,1.0,
discovering,1.0,,2.0
discovery,8.0,2.0,7.0
discredit,,2.0,
discreet,3.0,1.0,1.0
discreetly,1.0,,
discretion,4.0,3.0,6.0
discriminating,,1.0,
discrimination,1.0,,1.0
discuss,1.0,,
discussed,1.0,1.0,
discussing,1.0,,
discussion,5.0,3.0,4.0
discussions,,,1.0
disdain,4.0,2.0,
disdained,,1.0,
disdainful,,1.0,
disengage,2.0,,
disengaged,11.0,1.0,
disengagedeven,,,1.0
disengagement,,,1.0
disengaging,,1.0,
disfavour,,1.0,
disfigured,,1.0,
disgrace,2.0,2.0,5.0
disgraced,3.0,,1.0
disgraceful,,1.0,2.0
disguise,1.0,,
disguised,1.0,,
disgust,5.0,3.0,2.0
disgusted,2.0,,3.0
disgusting,2.0,1.0,2.0
disgustingly,2.0,,
disgusts,1.0,,
dish,1.0,,
dishes,1.0,,
dishonorable,,,1.0
disinclination,2.0,1.0,2.0
disincline,,1.0,
disinclined,1.0,,
disingenuous,,1.0,
disingenuousness,1.0,,
disinherited,,,1.0
disinterested,4.0,4.0,2.0
disinterestedness,1.0,,1.0
dislike,17.0,3.0,12.0
disliked,1.0,1.0,2.0
disliking,,,3.0
dislocated,,1.0,
dismal,1.0,,
dismay,1.0,,
dismembered,,1.0,
dismiss,,,1.0
dismissal,,1.0,
dismissed,,,5.0
dismounted,,,1.0
dismountedshe,,,1.0
disobedient,,,1.0
disobliging,,1.0,
disorder,3.0,,1.0
disordered,1.0,2.0,1.0
disparity,7.0,2.0,
dispatch,,,1.0
dispatched,,,1.0
dispatches,,,1.0
dispel,1.0,1.0,
dispelled,1.0,,
dispensation,,1.0,
dispense,2.0,,
dispensed,1.0,,
dispensing,1.0,,
disperse,1.0,,
dispersed,2.0,,1.0
dispersing,1.0,,1.0
dispirited,,,2.0
dispiriting,1.0,,
display,3.0,3.0,3.0
displayed,2.0,,3.0
displaying,1.0,1.0,
displays,2.0,,
displeased,8.0,,4.0
displeasure,6.0,,3.0
disposal,,2.0,5.0
dispose,1.0,1.0,4.0
disposed,19.0,17.0,15.0
disposedhad,1.0,,
disposes,,1.0,
disposing,1.0,,1.0
disposition,24.0,7.0,21.0
dispositions,1.0,,
disproportion,,1.0,1.0
disputable,1.0,,
dispute,,,1.0
disputes,,,1.0
disputing,1.0,,
disqualifications,,,1.0
disquiet,,1.0,1.0
disregard,,,2.0
disregarded,,,4.0
disrespect,1.0,,
disrespectful,,1.0,
disrespectfully,,2.0,1.0
dissatisfaction,1.0,,1.0
dissatisfied,,,6.0
dissembling,,,1.0
dissent,,1.0,1.0
dissented,,,1.0
dissentient,1.0,,
disserviceit,1.0,,
dissimilar,,2.0,1.0
dissipate,1.0,,
dissipated,2.0,1.0,2.0
dissipation,1.0,,2.0
dissipations,,1.0,
dissolved,2.0,1.0,
dissolving,,,1.0
dissuade,3.0,2.0,3.0
dissuaded,1.0,,
distance,24.0,9.0,12.0
distanceand,1.0,,
distant,9.0,6.0,9.0
distantthere,1.0,,
distaste,1.0,,
distasteful,1.0,,
distinct,10.0,1.0,
distinction,9.0,3.0,4.0
distinctionemma,1.0,,
distinctly,7.0,2.0,
distinguish,2.0,6.0,4.0
distinguished,3.0,8.0,4.0
distinguishedasthey,,,1.0
distinguishedwhom,,,1.0
distinguishing,6.0,,2.0
distractedly,,,1.0
distracting,,1.0,
distress,19.0,15.0,24.0
distressbut,,,1.0
distresscan,,,1.0
distressed,4.0,6.0,6.0
distresseddid,1.0,,
distresses,1.0,1.0,4.0
distressing,7.0,4.0,2.0
distrust,1.0,4.0,7.0
distrusted,1.0,1.0,
distruston,1.0,,
distrusts,,,1.0
disturb,3.0,1.0,5.0
disturbance,2.0,,
disturbed,6.0,1.0,5.0
disturbing,1.0,,
ditch,1.0,,
diversified,,1.0,
divert,1.0,,
diverted,2.0,,4.0
diverting,1.0,1.0,
divested,1.0,,
divide,2.0,2.0,4.0
divided,4.0,9.0,6.0
dividing,,1.0,3.0
divine,,,1.0
divined,1.0,,
division,3.0,2.0,1.0
divisions,3.0,1.0,
divorce,,,1.0
dixon,37.0,,
dixonemma,1.0,,
dixons,10.0,,
dixonvery,1.0,,
do,608.0,210.0,319.0
doall,1.0,,
doand,2.0,,1.0
doat,1.0,,1.0
doated,2.0,,
doating,2.0,,
doatingly,1.0,,1.0
dobut,2.0,,
docile,1.0,,
doctor,,2.0,8.0
doctoring,1.0,,
doctors,,,1.0
doctrine,,,3.0
doctrines,1.0,,
document,,1.0,
doer,1.0,,
does,127.0,42.0,54.0
doesfine,1.0,,
doesshe,,,1.0
doessometimes,,,1.0
dog,1.0,1.0,1.0
dogs,,2.0,1.0
dohow,2.0,,
doi,1.0,,
doing,43.0,28.0,28.0
doings,1.0,,
doingwhat,,,1.0
doingwhether,1.0,,
doleful,1.0,,
domestic,7.0,11.0,8.0
domingo,,1.0,
domiss,1.0,,
donavan,,,5.0
done,139.0,74.0,70.0
donei,1.0,,
doneone,2.0,,
donethe,,,1.0
donkey,3.0,,
donkeys,1.0,,
dono,1.0,,
donothing,1.0,,
dont,15.0,5.0,24.0
donwell,44.0,,
donwellhe,1.0,,
donwellsome,1.0,,
donwellthere,1.0,,
donwellvery,1.0,,
donwellyou,1.0,,
doom,1.0,,
doomed,1.0,,2.0
dooming,,,1.0
door,40.0,21.0,37.0
doorand,1.0,,
doorbell,,1.0,
doorelizabeth,1.0,,
doori,1.0,,
dooroh,1.0,,
doors,10.0,3.0,4.0
doorsa,1.0,,
doorsshe,1.0,,
doquite,1.0,,
dorking,1.0,,
dorsetshire,,1.0,6.0
dos,1.0,,
doshe,,,1.0
dosmall,1.0,,
dostalis,1.0,,
doted,,1.0,2.0
doth,1.0,,
dothat,,,1.0
dothe,1.0,,
dothen,,,1.0
doting,,,1.0
dotted,,,1.0
double,3.0,2.0,
doublebarrel,,1.0,
doubled,1.0,,
doubledyed,1.0,,
doubly,3.0,,1.0
doubt,97.0,26.0,45.0
doubted,8.0,1.0,8.0
doubtedand,1.0,,
doubtednor,,,1.0
doubtful,9.0,4.0,4.0
doubtfully,1.0,,
doubther,,,1.0
doubting,,1.0,2.0
doubtingly,1.0,1.0,1.0
doubtinglyrather,1.0,,
doubtless,,1.0,1.0
doubtputting,1.0,,
doubts,7.0,3.0,5.0
douceur,,,1.0
dovecote,,,1.0
dovery,3.0,,
dowager,,4.0,
dowe,1.0,,1.0
down,69.0,61.0,76.0
downmrs,,,1.0
downright,5.0,,
downs,,,6.0
downstairs,4.0,,
downwhich,1.0,,
doyou,1.0,,
dozen,4.0,2.0,
dr,2.0,10.0,2.0
drain,1.0,,1.0
drains,,,1.0
drank,2.0,,
draught,5.0,,
draughts,2.0,,
draw,10.0,6.0,9.0
drawback,6.0,,
drawbackexcept,,,1.0
drawers,1.0,,
drawing,13.0,4.0,11.0
drawingback,,1.0,
drawingin,1.0,,
drawingroom,14.0,9.0,13.0
drawingroommr,1.0,,
drawingroomnobody,,,1.0
drawingrooms,,4.0,
drawingroomshe,,,1.0
drawings,4.0,,4.0
drawingtable,,,2.0
drawingup,1.0,,
drawn,15.0,6.0,12.0
draws,3.0,,1.0
drays,,1.0,
dread,9.0,4.0,6.0
dreaded,2.0,2.0,4.0
dreadful,16.0,9.0,13.0
dreadfulexactly,1.0,,
dreadfully,8.0,3.0,3.0
dreadfulmy,,,1.0
dreadfulwhat,1.0,,
dreading,,2.0,1.0
dreadperhaps,,,1.0
dream,11.0,,1.0
dreamer,2.0,,
dreaming,1.0,,1.0
dreams,1.0,,
dreamt,1.0,1.0,
dress,7.0,9.0,7.0
dressed,8.0,,3.0
dresses,,,1.0
dressing,1.0,,2.0
dressingcloset,,,1.0
dressingroom,,2.0,2.0
dressshow,1.0,,
dressy,,1.0,
drew,6.0,16.0,14.0
dried,,,2.0
drift,,,1.0
drifted,1.0,,
drifting,1.0,,
drillsand,1.0,,
drink,3.0,,3.0
drinking,5.0,,3.0
drinks,,1.0,
dripping,,1.0,
drive,12.0,5.0,6.0
driven,2.0,4.0,4.0
drives,,,1.0
driving,4.0,4.0,4.0
drizzle,1.0,,
droll,,,6.0
drollall,,,1.0
drop,2.0,2.0,2.0
dropped,1.0,3.0,6.0
dropping,,1.0,
drops,1.0,1.0,1.0
dropt,3.0,1.0,4.0
drove,3.0,5.0,6.0
drown,1.0,,
drowned,1.0,,
drudge,1.0,,
drugs,1.0,,
drunk,1.0,,1.0
drunkenness,1.0,,
drury,,,1.0
dry,4.0,1.0,3.0
dryly,2.0,,
dryness,1.0,,1.0
dubious,1.0,,
dublin,1.0,,
due,22.0,13.0,13.0
dueor,1.0,,
dues,,2.0,
duets,,,1.0
dugdale,,1.0,
dull,8.0,2.0,9.0
dullbut,,,1.0
dullest,,1.0,
dulllooking,1.0,,
dullness,,,2.0
dulness,3.0,,
duly,1.0,,1.0
dungcart,,1.0,
duodecimo,,1.0,
dupe,1.0,,1.0
duped,1.0,,
duplicate,,1.0,
duplicity,,1.0,
durable,,2.0,
durableindeed,1.0,,
durands,,1.0,
duration,,,1.0
during,17.0,7.0,15.0
dusk,1.0,1.0,
dust,1.0,,
dusty,1.0,,
duties,3.0,4.0,4.0
dutiful,1.0,2.0,
duty,21.0,13.0,14.0
dutymy,,,1.0
dwell,4.0,3.0,1.0
dwelling,1.0,1.0,6.0
dwellings,1.0,,
dwelt,4.0,2.0,2.0
dwindled,1.0,,
dye,5.0,2.0,
dying,1.0,1.0,4.0
dyingand,,,1.0
e,10.0,1.0,
each,47.0,43.0,58.0
eager,19.0,11.0,20.0
eagerly,11.0,7.0,14.0
eagerness,9.0,5.0,11.0
eagernessnever,1.0,,
ear,5.0,2.0,5.0
earlier,7.0,8.0,3.0
earlieri,,,1.0
earlierit,1.0,,
earliest,1.0,4.0,4.0
early,41.0,26.0,20.0
earn,2.0,1.0,
earned,2.0,,3.0
earnest,8.0,6.0,23.0
earnestly,12.0,5.0,13.0
earnestness,3.0,1.0,8.0
earrings,,,1.0
ears,,1.0,4.0
earth,5.0,1.0,5.0
earthly,,,1.0
ease,19.0,8.0,17.0
easier,3.0,,2.0
easiest,,,2.0
easily,14.0,6.0,28.0
easilywith,,,1.0
east,,3.0,3.0
easter,1.0,,1.0
easterand,1.0,,
easy,27.0,13.0,22.0
easybut,1.0,,
easycharles,,1.0,
eat,12.0,4.0,6.0
eatablehautboys,1.0,,
eaten,3.0,,
eating,7.0,,3.0
eats,1.0,,
eatsso,1.0,,
ebullition,,,1.0
eccentric,2.0,,
echoed,,,1.0
eclat,1.0,1.0,1.0
economical,,,1.0
economically,,,1.0
economy,,3.0,1.0
ecstasies,1.0,,
ecstasy,,2.0,3.0
ecstatic,,,1.0
edge,,,1.0
edify,,1.0,
edition,1.0,,
editions,,,1.0
edtions,,,1.0
educate,1.0,,
educated,3.0,2.0,
educating,1.0,,
education,15.0,6.0,10.0
educationand,1.0,,
edward,,3.0,210.0
edwardbut,,,2.0
edwardfor,,,1.0
edwardhe,,,1.0
edwardhis,,,1.0
edwardi,,,1.0
edwards,,2.0,43.0
edwardshe,,,1.0
edwardwhether,,,1.0
edwardwhy,,,1.0
effect,17.0,11.0,23.0
effected,,,1.0
effecti,1.0,,
effecting,1.0,,1.0
effects,5.0,6.0,7.0
effectual,,,2.0
effectually,3.0,,1.0
efficacy,1.0,2.0,1.0
effort,5.0,1.0,8.0
efforts,1.0,2.0,
effusion,2.0,,3.0
effusions,1.0,,2.0
egg,3.0,,
eggs,2.0,,
eight,5.0,10.0,10.0
eightandthirty,1.0,1.0,
eightandtwentieth,,1.0,
eighteen,4.0,,6.0
eighteenit,1.0,,
eighth,1.0,,
eighthbut,1.0,,
eighty,,,1.0
eightyseven,,1.0,
either,62.0,36.0,34.0
eitherfor,1.0,,
eitherwhen,1.0,,
ejaculation,1.0,,1.0
ejaculations,,1.0,
elasticity,,1.0,
elbow,1.0,1.0,
elder,4.0,1.0,4.0
elderly,2.0,,3.0
eldest,8.0,12.0,20.0
elect,1.0,,1.0
election,,,1.0
electrified,,1.0,
elegance,14.0,7.0,19.0
eleganceease,1.0,,
elegancewant,,,1.0
elegancies,3.0,,
elegant,25.0,11.0,8.0
elegantly,3.0,,
elevate,2.0,1.0,
elevated,,2.0,4.0
elevation,3.0,,
eleven,2.0,1.0,
eligibilities,,1.0,
eligibility,1.0,,2.0
eligible,4.0,1.0,7.0
eligibly,1.0,,
elinor,,,618.0
elinorfor,,,1.0
elinorhere,,,1.0
elinorhow,,,1.0
elinors,,,61.0
elinorshe,,,1.0
eliza,,,8.0
elizabeth,7.0,81.0,
elizabeths,,8.0,
elliot,,254.0,
elliots,,41.0,
elliott,,,3.0
elliotts,,,1.0
ellison,,,3.0
ellisons,,,1.0
ellisonsand,,,1.0
elms,1.0,,
eloping,,,1.0
eloquence,,,5.0
eloquent,,4.0,
else,77.0,27.0,44.0
elseand,1.0,,1.0
elseburst,,,1.0
elsethere,1.0,,
elsewhere,2.0,2.0,6.0
elsewhereoh,,,1.0
elsewhich,1.0,,
elton,317.0,,
eltonjane,1.0,,
eltonno,1.0,,
eltons,86.0,,
eltonsa,1.0,,
eltonshere,1.0,,
eltonsprobably,1.0,,
eltonthis,1.0,,
elucidation,,,1.0
elude,,1.0,
eluded,,,1.0
em,,,1.0
embargo,,1.0,
embarrass,,1.0,
embarrassed,2.0,4.0,2.0
embarrassing,1.0,,
embarrassment,5.0,2.0,8.0
embarrassments,,2.0,
embarrassmentwhether,,,1.0
embellishment,,1.0,1.0
embellishments,,1.0,1.0
embitter,,,1.0
embodied,1.0,,
emboldened,,1.0,
embraced,,,1.0
embraces,1.0,,1.0
embrocation,2.0,,
emendation,,1.0,
emergence,,,1.0
emergency,,,1.0
emigrant,,,1.0
eminence,,,1.0
eminent,1.0,,
emma,751.0,1.0,
emmaa,1.0,,
emmaand,1.0,,
emmabut,3.0,,
emmacannot,1.0,,
emmadiffering,1.0,,
emmaemma,1.0,,
emmafortunate,1.0,,
emmai,1.0,,
emmaits,1.0,,
emmanothing,1.0,,
emmaoffended,1.0,,
emmaquite,1.0,,
emmas,77.0,,
emmashe,1.0,,
emmatell,1.0,,
emmawhat,2.0,,
emmayou,2.0,,
emotion,3.0,8.0,21.0
emotions,2.0,3.0,
emphasis,1.0,,1.0
emphatically,1.0,,
employ,7.0,4.0,4.0
employed,9.0,5.0,11.0
employing,2.0,1.0,
employment,10.0,4.0,13.0
employments,1.0,,7.0
empowered,,1.0,
emptiness,,,1.0
empty,1.0,,
emulate,1.0,,
emulating,,1.0,
en,1.0,,
enable,2.0,,5.0
enabled,1.0,3.0,3.0
enamoured,,,1.0
enchanted,1.0,,
enchanting,1.0,,
enclosed,1.0,1.0,
enclosure,,,1.0
enclosures,,1.0,
encounter,5.0,3.0,
encountered,1.0,1.0,
encourage,3.0,,4.0
encouraged,8.0,4.0,6.0
encouragement,19.0,1.0,14.0
encouragementi,1.0,,
encouragements,1.0,,1.0
encouragementsir,1.0,,
encourager,1.0,,
encouraging,9.0,4.0,9.0
encroachi,1.0,,
encroachments,,,1.0
encumbered,1.0,,1.0
encumbrance,3.0,,
end,48.0,32.0,54.0
endanger,1.0,,
endangering,,1.0,
endear,,,1.0
endeared,1.0,,
endeavor,,,1.0
endeavoring,,,1.0
endeavors,,,1.0
endeavour,14.0,3.0,6.0
