,data/austen-emma.txt,data/austen-persuasion.txt,data/austen-sense.txt
adieus,1.0,1.0,2.0
adjoining,6.0,3.0,2.0
adjusting,,,1.0
administer,1.0,,1.0
administered,1.0,,
administering,,,1.0
admirable,2.0,,1.0
admirableexcellently,1.0,,
admirably,1.0,1.0,
admiral,,61.0,
admirals,,8.0,
admiralty,,1.0,
admiration,24.0,10.0,20.0
admirationa,,,1.0
admirationshe,,,1.0
admire,9.0,7.0,10.0
admired,15.0,5.0,5.0
admirer,5.0,1.0,
admirers,,,1.0
admires,1.0,1.0,3.0
admiring,3.0,3.0,3.0
admissible,2.0,,
admission,1.0,,1.0
admit,10.0,9.0,6.0
admits,1.0,,
admittance,,,2.0
admitted,12.0,12.0,5.0
admittedshe,1.0,,
admitting,,,3.0
adopt,4.0,1.0,6.0
adopted,,3.0,1.0
adoption,1.0,,
adoration,2.0,,
adored,1.0,,
adorned,,,2.0
advance,4.0,1.0,3.0
advanced,3.0,1.0,9.0
advancement,,,2.0
advances,1.0,,2.0
advancesi,1.0,,
advancing,1.0,1.0,2.0
advantage,27.0,22.0,25.0
advantageous,1.0,,2.0
advantageousher,,,1.0
advantages,12.0,5.0,3.0
adventure,2.0,,
adventuring,1.0,,
adventurous,1.0,,
adversarys,1.0,,
adverse,,1.0,
advertise,,1.0,
advertised,,1.0,
advertising,1.0,,
advice,14.0,5.0,10.0
advisable,2.0,1.0,5.0
advise,11.0,1.0,8.0
advised,4.0,2.0,4.0
adviser,1.0,,
advising,2.0,2.0,
advocate,3.0,,
aemmado,1.0,,
affability,1.0,,2.0
affable,1.0,,2.0
affair,6.0,,27.0
affairi,,,1.0
affairs,5.0,8.0,4.0
affect,5.0,2.0,3.0
affectation,2.0,,3.0
affected,7.0,10.0,8.0
affectedly,3.0,,1.0
affectedlyno,,,1.0
affecting,1.0,1.0,4.0
affection,49.0,9.0,78.0
affectionate,9.0,3.0,22.0
affectionately,1.0,3.0,2.0
affections,11.0,3.0,12.0
affectionsatisfied,1.0,,
affectionthat,,,1.0
affects,,,1.0
affirm,1.0,,
affirmative,1.0,,1.0
affix,1.0,,
affixed,1.0,,1.0
afflict,,,1.0
afflicted,,3.0,1.0
afflicting,,,1.0
affliction,2.0,3.0,15.0
afflictionher,,,1.0
afflictions,,,1.0
affluence,,3.0,3.0
affluent,,1.0,
afford,6.0,9.0,15.0
afforded,8.0,2.0,7.0
affording,2.0,,3.0
affords,1.0,1.0,
affront,,1.0,2.0
affronted,2.0,1.0,
affronting,,,2.0
affronts,,1.0,
afloat,1.0,1.0,
afraid,63.0,15.0,23.0
afraidbut,1.0,,
afraidthey,1.0,,
after,157.0,96.0,202.0
afterdays,,,1.0
afternoon,5.0,3.0,3.0
afternoonbut,1.0,,
afterward,,,1.0
afterwards,38.0,35.0,32.0
afterwardsand,1.0,,
afterwardsas,1.0,,
afterwardsis,,,1.0
afterwardsshe,,1.0,
again,206.0,132.0,141.0
againand,2.0,,1.0
againbut,2.0,,1.0
againfor,1.0,,
againhis,,,1.0
againit,1.0,,
againmr,2.0,,
againmust,,,1.0
againno,1.0,,
againselfimportant,1.0,,
againso,,,1.0
against,46.0,27.0,65.0
againsts,,1.0,
againto,1.0,,
againyet,1.0,,1.0
age,21.0,11.0,19.0
agent,,1.0,
ages,2.0,,1.0
agewhat,1.0,,
